probe_id	gene_symbol	entrez_id	ensembl_id
2320176	MTOR-AS1	100873935	ENSG00000225602
2320188	ANGPTL7	10218	ENSG00000171819
2320210	UBIAD1	29914	ENSG00000120942
2320220	UBIAD1	29914	ENSG00000120942
2320272	DISP3	57540	ENSG00000204624
2320331	LINC01647	101929181	ENSG00000235643
2320347	FBXO44	93611	ENSG00000132879
2320374	FBXO6	26270	ENSG00000116663
2320392	DRAXIN	374946	ENSG00000162490
2320411	AGTRAP	57085	ENSG00000177674
2320432	C1orf167	284498	ENSG00000215910
2320569	RNU5E-1	26829	ENSG00000199347
2320581	PLOD1	5351	ENSG00000083444
2320619	MFN2	9927	ENSG00000116688
2320683	TNFRSF8	943	ENSG00000120949
2320727	TNFRSF1B	7133	ENSG00000028137
2320762	VPS13D	55187	ENSG00000048707
2320926	LOC105376744	105376744	NA
2320960	AADACL4	343066	ENSG00000204518
2320973	AADACL4	343066	ENSG00000204518
2320977	AADACL3	126767	ENSG00000188984
2321011	C1orf158	93190	ENSG00000157330
2321032	PRAMEF12	390999	ENSG00000116726
2321182	PDPN	10630	ENSG00000162493
2321368	KAZN	23254	ENSG00000189337
2321607	KAZN	23254	ENSG00000189337
2321637	KAZN	23254	ENSG00000189337
2321639	KAZN	23254	ENSG00000189337
2321645	TMEM51	55092	ENSG00000171729
2321671	FHAD1	114827	ENSG00000142621
2321779	EFHD2	79180	ENSG00000142634
2321797	CTRC	11330	ENSG00000162438
2321828	CELA2B	51032	ENSG00000215704
2321849	DNAJC16	23341	ENSG00000116138
2321911	DDI2	84301	ENSG00000197312
2321950	DDI2	84301	ENSG00000197312
2321960	PLEKHM2	23207	ENSG00000116786
2322002	PLEKHM2	23207	ENSG00000116786
2322004	SLC25A34	284723	ENSG00000162461
2322024	TMEM82	388595	ENSG00000162460
2322036	FBLIM1	54751	ENSG00000162458
2322065	FBLIM1	54751	ENSG00000162458
2322103	SPEN	23013	ENSG00000065526
2322211	C1orf64	149563	ENSG00000183888
2322297	CLCNKB	1188	ENSG00000184908
2322321	LOC101927479	101927479	NA
2322324	LOC101927479	101927479	NA
2322327	LOC101927479	101927479	NA
2322331	LOC101927479	101927479	NA
2322362	SZRD1	26099	ENSG00000055070
2322389	NECAP2	55707	ENSG00000157191
2322445	LOC103091866	103091866	ENSG00000272419
2322447	FAM231B	100133301	ENSG00000268991
2322566	LOC105379524	105379524	NA
2322577	LOC105379524	105379524	NA
2322579	LOC105379524	105379524	NA
2322728	PDE4DIP	9659	ENSG00000178104
2322742	LOC105376806	105376806	NA
2322759	LOC105376808	105376808	NA
2322775	LOC400743	400743	NA
2322786	PADI1	29943	NA
2322818	PADI3	51702	NA
2322848	PADI4	23569	NA
2322894	PADI6	353238	NA
2322957	ARHGEF10L	55160	ENSG00000074964
2323087	ACTL8	81569	ENSG00000117148
2323157	LINC01654	101927876	ENSG00000261781
2323172	IGSF21	84966	ENSG00000117154
2323285	KLHDC7A	127707	ENSG00000179023
2323347	PAX7	5081	ENSG00000009709
2323513	LOC284513	284513	NA
2323559	MRTO4	51154	ENSG00000053372
2323647	LOC644083	644083	NA
2323743	RPS14P3	644068	NA
2323790	HTR6	3362	ENSG00000158748
2323826	OTUD3	23252	ENSG00000169914
2323847	PLA2G5	5322	ENSG00000127472
2323876	PLA2G5	5322	ENSG00000127472
2323882	PLA2G2F	64600	ENSG00000158786
2323937	LINC01757	105376827	NA
2323951	VWA5B1	127731	ENSG00000158816
2323998	VWA5B1	127731	ENSG00000158816
2324000	VWA5B1	127731	ENSG00000158816
2324061	FAM43B	163933	ENSG00000183114
2324084	CDA	978	ENSG00000158825
2324186	LOC105376829	105376829	NA
2324282	LOC100506801	100506801	ENSG00000231105
2324287	LOC100506801	100506801	ENSG00000231105
2324402	HS6ST1	9394	ENSG00000136720
2324408	HS6ST1	9394	ENSG00000136720
2324410	HS6ST1	9394	ENSG00000136720
2324412	HS6ST1	9394	ENSG00000136720
2324416	ALPL	249	ENSG00000162551
2324454	LOC105376834	105376834	NA
2324498	LDLRAD2	401944	ENSG00000187942
2324616	LINC00339	29092	ENSG00000218510
2324678	CDC42-IT1	100874292	NA
2324743	ZBTB40	9923	ENSG00000184677
2324820	EPHA8	2046	ENSG00000070886
2324856	C1QA	712	ENSG00000173372
2324873	C1QC	714	ENSG00000159189
2324884	C1QB	713	ENSG00000173369
2325002	KDM1A	23028	ENSG00000004487
2325113	ZNF436-AS1	148898	ENSG00000249087
2325158	MDS2	259283	ENSG00000197880
2325192	RPL11	6135	ENSG00000142676
2325251	ELOA	6924	ENSG00000011007
2325274	PITHD1	57095	ENSG00000057757
2325350	LOC284632	284632	ENSG00000230023
2325358	GRHL3	57822	ENSG00000158055
2325410	NIPAL3	57185	ENSG00000001461
2325479	RCAN3	11123	ENSG00000117602
2325500	NCMAP	400746	ENSG00000184454
2325526	SRRM1	10250	ENSG00000133226
2325781	TMEM50A	23585	ENSG00000183726
2325820	RSRP1	57035	ENSG00000117616
2325834	LOC105376882	105376882	NA
2325854	RSRP1	57035	ENSG00000117616
2325863	SDHD	6392	ENSG00000204370
2325910	RHD	6007	ENSG00000187010
2325928	SDHD	6392	ENSG00000204370
2325941	TMEM50A	23585	ENSG00000183726
2325984	RSRP1	57035	ENSG00000117616
2325988	SDHD	6392	ENSG00000204370
2326005	TMEM57	55219	ENSG00000204178
2326018	LDLRAP1	26119	ENSG00000157978
2326032	LDLRAP1	26119	ENSG00000157978
2326036	LDLRAP1	26119	ENSG00000157978
2326049	MAN1C1	57134	ENSG00000117643
2326126	SELENON	57190	ENSG00000162430
2326157	MTFR1L	56181	ENSG00000117640
2326212	LOC105376885	105376885	NA
2326214	LOC105376885	105376885	NA
2326237	EXTL1	2134	ENSG00000158008
2326286	PDIK1L	149420	ENSG00000175087
2326295	FAM110D	79927	ENSG00000197245
2326311	ZNF593	51042	ENSG00000142684
2326327	CNKSR1	10256	ENSG00000142675
2326364	CATSPER4	378807	ENSG00000188782
2326399	LOC101928303	101928303	ENSG00000236155
2326410	CEP85	64793	ENSG00000130695
2326448	SH3BGRL3	83442	ENSG00000142669
2326463	CD52	1043	ENSG00000169442
2326485	LIN28A	79727	ENSG00000131914
2326496	DHDDS	79947	ENSG00000117682
2326561	RPS6KA1	6195	NA
2326640	ARID1A	8289	ENSG00000117713
2326707	PIGV	55650	ENSG00000060642
2326749	ZDHHC18	84243	ENSG00000204160
2326774	SFN	2810	ENSG00000175793
2326799	NUDC	10726	ENSG00000090273
2326846	TRNP1	388610	ENSG00000253368
2326867	LOC101928391	101928391	NA
2326876	LOC101928391	101928391	NA
2326912	WDTC1	23038	ENSG00000142784
2326993	SYTL1	84958	ENSG00000142765
2327045	GPR3	2827	ENSG00000181773
2327109	LOC105376892	105376892	NA
2327188	FAM76A	199870	ENSG00000009780
2327219	STX12	23673	ENSG00000117758
2327283	THEMIS2	9473	ENSG00000130775
2327310	SMPDL3B	27293	ENSG00000130768
2327336	XKR8	55113	ENSG00000158156
2327338	XKR8	55113	ENSG00000158156
2327375	ATPIF1	93974	ENSG00000130770
2327391	SESN2	83667	ENSG00000130766
2327418	MED18	54797	ENSG00000130772
2327433	PHACTR4	65979	ENSG00000204138
2327439	PHACTR4	65979	ENSG00000204138
2327458	PHACTR4	65979	ENSG00000204138
2327542	TRNAU1AP	54952	ENSG00000180098
2327572	RAB42	115273	ENSG00000188060
2327593	LINC01715	105378616	NA
2327603	GMEB1	10691	ENSG00000162419
2327630	YTHDF2	51441	ENSG00000198492
2327659	OPRD1	4985	ENSG00000116329
2327677	EPB41	2035	ENSG00000159023
2327768	EPB41	2035	ENSG00000159023
2327772	EPB41	2035	ENSG00000159023
2327775	EPB41	2035	ENSG00000159023
2327817	PTPRU	10076	ENSG00000060656
2328052	LOC105378618	105378618	NA
2328126	MATN1-AS1	100129196	ENSG00000186056
2328148	LINC01778	105378622	NA
2328151	LINC01778	105378622	NA
2328159	LOC400748	400748	NA
2328236	ZCCHC17	51538	ENSG00000121766
2328273	SERINC2	347735	ENSG00000168528
2328311	LOC105378625	105378625	NA
2328316	LOC105379772	105379772	NA
2328366	LINC01226	284551	NA
2328387	HCRTR1	3061	ENSG00000121764
2328465	KHDRBS1	10657	ENSG00000121774
2328633	TMEM39B	55116	ENSG00000121775
2328674	KPNA6	23633	ENSG00000025800
2328713	TXLNA	200081	ENSG00000084652
2328750	CCDC28B	79140	ENSG00000160050
2328767	IQCC	55721	ENSG00000160051
2328777	DCDC2B	149069	ENSG00000222046
2328784	DCDC2B	149069	ENSG00000222046
2328805	EIF3I	8668	ENSG00000084623
2328808	EIF3I	8668	ENSG00000084623
2328827	MTMR9LP	339483	NA
2328837	FAM167B	84734	ENSG00000183615
2328841	LCK	3932	ENSG00000182866
2328868	HDAC1	3065	ENSG00000116478
2328909	TSSK3	81629	ENSG00000162526
2328977	ZBTB8A	653121	ENSG00000160062
2328990	RBBP4	5928	ENSG00000162521
2329041	KIAA1522	57648	ENSG00000162522
2329075	S100PBP	64766	ENSG00000116497
2329077	S100PBP	64766	ENSG00000116497
2329131	HPCA	3208	ENSG00000121905
2329196	AZIN2	113451	ENSG00000142920
2329266	ZNF362	149076	ENSG00000160094
2329305	LOC101929464	101929464	ENSG00000233246
2329341	ZSCAN20	7579	ENSG00000121903
2329386	HMGB4	127540	ENSG00000176256
2329404	CSMD2-AS1	402779	ENSG00000231163
2329481	C1orf94	84970	ENSG00000142698
2329662	ZMYM6	9204	ENSG00000163867
2329669	ZMYM1	79830	ENSG00000197056
2329717	EFCAB14	9813	ENSG00000159658
2329752	ZMYM4	9202	ENSG00000146463
2329846	RPL5	6125	ENSG00000122406
2329887	NCDN	23154	ENSG00000020129
2329920	TFAP2E	339488	ENSG00000116819
2329978	C1orf216	127703	ENSG00000142686
2330000	AGO4	192670	ENSG00000134698
2330002	AGO4	192670	ENSG00000134698
2330133	AGO3	192669	ENSG00000126070
2330234	TEKT2	27285	ENSG00000092850
2330253	ADPRHL2	54936	ENSG00000116863
2330289	MAP7D1	55700	ENSG00000116871
2330334	THRAP3	9967	ENSG00000054118
2330393	SH3D21	79729	ENSG00000214193
2330723	DNALI1	7802	ENSG00000163879
2330773	CDCA8	55143	ENSG00000134690
2330843	MANEAL	149175	ENSG00000185090
2330858	YRDC	79693	ENSG00000196449
2330860	YRDC	79693	ENSG00000196449
2330864	C1orf122	127687	ENSG00000197982
2330899	UTP11	51118	ENSG00000183520
2330920	LOC105378653	105378653	NA
2331007	LINC01685	105378656	NA
2331064	HSPA5	3309	ENSG00000044574
2331106	MYCBP	26292	NA
2331139	LOC105378662	105378662	NA
2331158	AKIRIN1	79647	ENSG00000174574
2331178	NDUFS5	4725	ENSG00000168653
2331499	KIAA0754	643314	ENSG00000127603
2331505	MACF1	23499	ENSG00000127603
2331558	BMP8A	353500	ENSG00000183682
2331578	LOC101929516	101929516	ENSG00000228060
2331649	LOC101929536	101929536	ENSG00000261798
2331664	LOC105378667	105378667	NA
2331676	LOC105378668	105378668	ENSG00000236546
2331679	MFSD2A	84879	ENSG00000168389
2331727	CAP1	10487	ENSG00000131236
2331771	RLF	6018	ENSG00000117000
2331814	TMCO2	127391	ENSG00000188800
2331822	ZMPSTE24	10269	ENSG00000084073
2331857	SMAP2	64744	ENSG00000084070
2331903	ZFP69B	65243	ENSG00000187801
2331921	ZFP69B	65243	ENSG00000187801
2331923	ZFP69B	65243	ENSG00000187801
2331937	ZFP69	339559	ENSG00000187815
2331959	EXO5	64789	ENSG00000164002
2331991	LOC105378673	105378673	NA
2332007	LOC105378675	105378675	NA
2332091	KCNQ4	9132	ENSG00000117013
2332144	CTPS1	1503	ENSG00000171793
2332193	SLFNL1-AS1	100507178	ENSG00000281207
2332232	LOC102723924	102723924	NA
2332248	FOXO6	100132074	NA
2332303	LOC105378678	105378678	NA
2332463	LOC105379775	105379775	NA
2332481	GUCA2B	2981	ENSG00000044012
2332528	RIMKLA	284716	ENSG00000177181
2332552	RIMKLA	284716	ENSG00000177181
2332554	RIMKLA	284716	ENSG00000177181
2332556	RIMKLA	284716	ENSG00000177181
2332566	PPCS	79717	ENSG00000127125
2332583	CCDC30	728621	ENSG00000186409
2332654	PPCS	79717	ENSG00000127125
2332660	CCDC30	728621	ENSG00000186409
2332664	YBX1	4904	ENSG00000065978
2332711	PPIH	10465	ENSG00000171960
2332810	TMEM269	100129924	ENSG00000274386
2332812	ERMAP	114625	ENSG00000164010
2332855	ZNF691	51058	ENSG00000164011
2332873	ZNF691	51058	ENSG00000164011
2332875	LOC339539	339539	NA
2332927	SLC2A1-AS1	440584	ENSG00000227533
2332962	FAM183A	440585	ENSG00000186973
2332999	CFAP57	149465	ENSG00000243710
2333020	CFAP57	149465	ENSG00000243710
2333025	CFAP57	149465	ENSG00000243710
2333035	TMEM125	128218	ENSG00000179178
2333051	TIE1	7075	ENSG00000066056
2333107	MPL	4352	ENSG00000117400
2333136	CDC20	991	ENSG00000117399
2333168	SZT2	23334	ENSG00000198198
2333183	SZT2	23334	ENSG00000198198
2333195	SZT2	23334	ENSG00000198198
2333301	SZT2	23334	ENSG00000198198
2333318	PTPRF	5792	ENSG00000142949
2333429	KDM4A	9682	ENSG00000066135
2333574	ARTN	9048	ENSG00000117407
2333599	IPO13	9670	ENSG00000117408
2333635	DPH2	1802	ENSG00000132768
2333658	ATP6V0B	533	ENSG00000117410
2333678	B4GALT2	8704	ENSG00000117411
2333707	CCDC24	149473	ENSG00000159214
2333760	KLF17	128209	ENSG00000171872
2333777	KLF17	128209	ENSG00000171872
2333794	DMAP1	55929	ENSG00000178028
2333907	RNF220	55182	ENSG00000187147
2334052	C1orf228	339541	ENSG00000198520
2334098	KIF2C	11004	ENSG00000142945
2334191	PLK3	1263	ENSG00000173846
2334234	PLK3	1263	ENSG00000173846
2334236	PLK3	1263	ENSG00000173846
2334238	PLK3	1263	ENSG00000173846
2334253	LINC01144	400752	ENSG00000281912
2334279	UROD	7389	ENSG00000126088
2334314	HPDL	84842	ENSG00000186603
2334319	TOE1	114034	ENSG00000132773
2334350	MMACHC	25974	ENSG00000132763
2334374	AKR1A1	10327	ENSG00000117448
2334404	NASP	4678	ENSG00000132780
2334459	TMEM69	51249	ENSG00000159596
2334473	LOC105378693	105378693	NA
2334476	MAST2	23139	ENSG00000086015
2334596	LOC101929626	101929626	ENSG00000227857
2334602	TSPAN1	10103	ENSG00000117472
2334629	LURAP1	541468	ENSG00000171357
2334646	RAD54L	8438	ENSG00000085999
2334706	NSUN4	387338	ENSG00000117481
2334740	FAAH	2166	ENSG00000117480
2334784	FAAHP1	729041	NA
2334831	DMBX1	127343	ENSG00000197587
2334847	DMBX1	127343	ENSG00000197587
2334862	MKNK1-AS1	100507423	ENSG00000269956
2334893	TEX38	374973	ENSG00000186118
2334901	EFCAB14-AS1	100130197	ENSG00000228237
2334927	LOC105378699	105378699	NA
2334932	CYP4B1	1580	ENSG00000142973
2334986	CYP4X1	260293	ENSG00000186377
2335079	LINC00853	100874253	ENSG00000224805
2335132	CMPK1	51727	ENSG00000162368
2335160	FOXE3	2301	ENSG00000186790
2335172	FOXD2	2306	ENSG00000186564
2335273	LOC105378702	105378702	NA
2335393	SLC5A9	200010	ENSG00000117834
2335443	STRADB	55437	ENSG00000082146
2335558	LOC105378706	105378706	NA
2335593	LOC101929721	101929721	ENSG00000230114
2335671	ELAVL4	1996	ENSG00000162374
2335834	LOC105378714	105378714	NA
2335857	LOC105378715	105378715	NA
2335859	LOC105378715	105378715	NA
2335922	CDKN2C	1031	ENSG00000123080
2335973	C1orf185	284546	ENSG00000204006
2335986	RNF11	26994	ENSG00000123091
2336019	TTC39A-AS1	102724097	ENSG00000261664
2336099	OSBPL9	114883	ENSG00000117859
2336209	LOC105378721	105378721	ENSG00000266993
2336231	RAB3B	5865	ENSG00000169213
2336233	RAB3B	5865	ENSG00000169213
2336267	TXNDC12-AS1	104355143	ENSG00000228369
2336271	BTF3L4	91408	ENSG00000134717
2336302	ZFYVE9	9372	ENSG00000157077
2336375	PLA2G12AP1	100420258	NA
2336383	PRPF38A	84950	ENSG00000134748
2336439	GPX7	2882	ENSG00000116157
2336452	FAM159A	348378	ENSG00000182183
2336454	FAM159A	348378	ENSG00000182183
2336456	FAM159A	348378	ENSG00000182183
2336497	ZYG11B	79699	ENSG00000162378
2336539	ZYG11A	440590	ENSG00000203995
2336585	SCP2	6342	ENSG00000116171
2336628	SCP2	6342	ENSG00000116171
2336630	SCP2	6342	ENSG00000116171
2336632	SCP2	6342	ENSG00000116171
2336634	SCP2	6342	ENSG00000116171
2336636	SCP2	6342	ENSG00000116171
2336638	SCP2	6342	ENSG00000116171
2336642	SCP2	6342	ENSG00000116171
2336650	PODN	127435	ENSG00000174348
2336688	LOC105379783	105379783	NA
2336727	LOC100507564	100507564	ENSG00000226754
2336739	LOC105378728	105378728	NA
2336809	DMRTB1	63948	ENSG00000143006
2336891	DIO1	1733	ENSG00000211452
2336911	HSPB11	51668	ENSG00000081870
2336913	LRRC42	115353	ENSG00000116212
2336963	TCEANC2	127428	ENSG00000116205
2337003	MRPL37	51253	ENSG00000116221
2337037	SSBP3-AS1	619518	ENSG00000198711
2337039	SSBP3-AS1	619518	ENSG00000198711
2337147	ACOT11	26027	ENSG00000162390
2337283	MROH7-TTC4	100527960	ENSG00000271723
2337327	LEXM	163747	ENSG00000162398
2337369	TMEM61	199964	ENSG00000143001
2337392	BSND	7809	ENSG00000162399
2337407	PCSK9	255738	ENSG00000169174
2337454	LOC100507634	100507634	NA
2337487	MIR4422	100616272	ENSG00000265822
2337575	LINC01755	105378738	ENSG00000233079
2337615	LINC01767	105378744	NA
2337666	LINC01767	105378744	NA
2337716	PRKAA2	5563	ENSG00000162409
2337740	PRKAA2	5563	ENSG00000162409
2337742	PRKAA2	5563	ENSG00000162409
2337786	C8A	731	ENSG00000157131
2337842	LOC105378749	105378749	NA
2338102	DAB1-AS1	101926890	ENSG00000226759
2338384	LINC01358	101926925	NA
2338434	LINC01358	101926925	NA
2338487	FGGY	55277	ENSG00000172456
2338616	LOC101926944	101926944	NA
2338625	HOOK1	51361	ENSG00000134709
2339023	NFIA	4774	ENSG00000162599
2339061	KIAA0485	57235	NA
2339063	KIAA0485	57235	NA
2339065	KIAA0485	57235	NA
2339067	KIAA0485	57235	NA
2339109	MGC34796	414927	NA
2339112	MGC34796	414927	NA
2339139	PATJ	10207	ENSG00000132849
2339328	LAMTOR5P1	106478910	NA
2339334	L1TD1	54596	ENSG00000240563
2339352	L1TD1	54596	ENSG00000240563
2339454	ANGPTL3	27329	ENSG00000132855
2339476	LOC100507664	100507664	NA
2339486	LOC400756	400756	NA
2339511	ATG4C	84938	ENSG00000125703
2339540	ATG4C	84938	ENSG00000125703
2339658	FOXD3	27022	ENSG00000187140
2339682	ALG6	29929	ENSG00000088035
2339718	ALG6	29929	ENSG00000088035
2339786	PGM1	5236	ENSG00000079739
2339831	PGM1	5236	ENSG00000079739
2339848	LOC105378771	105378771	NA
2339872	ROR1	4919	ENSG00000185483
2339995	ROR1	4919	ENSG00000185483
2339997	UBE2U	148581	ENSG00000177414
2340078	CACHD1	57685	ENSG00000158966
2340186	RAVER2	55225	ENSG00000162437
2340315	AK4	205	ENSG00000162433
2340516	LEPROT	54741	ENSG00000213625
2340529	PDE4B	5142	ENSG00000184588
2340695	SGIP1	84251	ENSG00000118473
2340809	SGIP1	84251	ENSG00000118473
2340811	SGIP1	84251	ENSG00000118473
2340813	SGIP1	84251	ENSG00000118473
2340815	SGIP1	84251	ENSG00000118473
2340817	SGIP1	84251	ENSG00000118473
2340819	TCTEX1D1	200132	ENSG00000152760
2340845	MIER1	57708	ENSG00000198160
2340894	MIER1	57708	ENSG00000198160
2340930	IL23R	149233	ENSG00000162594
2340961	IL12RB2	3595	ENSG00000081985
2341052	LINC01702	102724481	NA
2341057	LOC105378780	105378780	NA
2341083	GADD45A	1647	ENSG00000116717
2341144	GNG12-AS1	100289178	ENSG00000232284
2341254	LOC105378782	105378782	NA
2341293	DEPDC1-AS1	101927220	ENSG00000234264
2341354	LINC01707	105378785	ENSG00000223883
2341382	LINC01758	105378788	NA
2341482	LOC105378789	105378789	NA
2341535	PIN1P1	5301	ENSG00000229359
2341565	SRSF11	9295	ENSG00000116754
2341645	HHLA3	11147	ENSG00000197568
2341663	CTH	1491	ENSG00000116761
2341721	LINC01788	101927244	ENSG00000229051
2341768	ZRANB2-AS1	100132618	NA
2341770	ZRANB2-AS1	100132618	NA
2341789	ZRANB2-AS2	100852410	ENSG00000229956
2341809	ZRANB2-AS2	100852410	ENSG00000229956
2341989	LOC105378797	105378797	NA
2342088	LINC01360	101927295	ENSG00000233973
2342194	FPGT	8790	ENSG00000254685
2342198	FPGT	8790	ENSG00000254685
2342206	TNNI3K	51086	ENSG00000116783
2342333	LOC105378805	105378805	NA
2342353	ERICH3-AS1	101927320	ENSG00000234497
2342355	ERICH3-AS1	101927320	ENSG00000234497
2342363	ERICH3-AS1	101927320	ENSG00000234497
2342391	TYW3	127253	ENSG00000162623
2342475	LHX8	431707	ENSG00000162624
2342576	ACADM	34	ENSG00000117054
2342661	RABGGTB	5876	ENSG00000137955
2342663	RABGGTB	5876	ENSG00000137955
2342719	LOC101927342	101927342	NA
2342738	ST6GALNAC3	256435	ENSG00000184005
2342879	TPI1	7167	ENSG00000111669
2342904	ST6GALNAC5	81849	ENSG00000117069
2343014	LOC105378808	105378808	NA
2343016	LOC105378808	105378808	NA
2343025	AK5	26289	ENSG00000154027
2343231	NEXN	91624	ENSG00000162614
2343271	NEXN	91624	ENSG00000162614
2343289	DNAJB4	11080	ENSG00000162616
2343334	GIPC2	54810	ENSG00000137960
2343397	MGC27382	149047	ENSG00000237413
2343418	PTGFR	5737	ENSG00000122420
2343460	PTGFR	5737	ENSG00000122420
2343473	IFI44L	10964	ENSG00000137959
2343504	IFI44L	10964	ENSG00000137959
2343511	IFI44	10561	ENSG00000137965
2343737	LINC01781	101927412	ENSG00000234184
2343823	ADGRL2	23266	ENSG00000117114
2344020	ARID3B	10620	ENSG00000179361
2344092	LINC01362	103283057	NA
2344393	PRKACB	5567	ENSG00000142875
2344464	SAMD13	148418	ENSG00000203943
2344511	DNASE2B	58511	ENSG00000137976
2344530	DNASE2B	58511	ENSG00000137976
2344542	RPF1	80135	ENSG00000117133
2344577	SPATA1	100505741	NA
2344617	LOC105378819	105378819	NA
2344800	LOC105378821	105378821	NA
2344812	LOC646626	646626	NA
2344888	CYR61	3491	ENSG00000142871
2344936	LOC105378823	105378823	NA
2344984	CLCA2	9635	ENSG00000137975
2345023	CLCA1	1179	ENSG00000016490
2345061	CLCA4	22802	ENSG00000016602
2345095	CLCA3P	9629	ENSG00000153923
2345128	SH3GLB1	51100	ENSG00000097033
2345196	HS2ST1	9653	ENSG00000153936
2345239	LINC01140	339524	ENSG00000267272
2345382	LOC105378833	105378833	NA
2345390	LOC105378834	105378834	NA
2345398	LOC105378834	105378834	NA
2345564	LOC105378839	105378839	NA
2345617	PKN2	5586	ENSG00000065243
2345756	LOC105378841	105378841	NA
2345816	GBP6	163351	ENSG00000183347
2345880	LRRC8B	23507	ENSG00000197147
2345923	LRRC8C	84230	ENSG00000171488
2345929	LRRC8C	84230	ENSG00000171488
2346003	LOC101927975	101927975	NA
2346016	LOC101927975	101927975	NA
2346023	LRRC8D	55144	ENSG00000171492
2346074	ZNF326	284695	ENSG00000162664
2346151	LOC105378849	105378849	NA
2346176	LOC105378849	105378849	NA
2346179	LOC105378849	105378849	NA
2346290	LOC105378855	105378855	NA
2346369	FEN1	2237	ENSG00000168496
2346387	FEN1	2237	ENSG00000168496
2346399	CDC7	8317	ENSG00000097046
2346493	HSP90B3P	343477	NA
2346575	BRDT	676	ENSG00000137948
2346625	EPHX4	253152	ENSG00000172031
